Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
August Transparency 559,02/08/2022,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£58,178"
August Transparency 560,02/08/2022,DIG SDX REFRESH,PPE - INFORMATION TECHNOLOGY (OWNED) - COST - ADDITIONS,CDW LTD,"£58,045"
August Transparency 561,18/08/2022,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£57,548"
August Transparency 562,04/08/2022,P&C APPRENTICESHIP DN FUNDING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA,"£57,456"
August Transparency 563,02/08/2022,DIG CONTACT CENTRE MAINTENANCE NGCC2022 DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£57,295"
August Transparency 564,24/08/2022,DIG NETWORK ACCESS SERVICE,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£57,272"
August Transparency 565,11/08/2022,DIG SDX REFRESH,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£57,217"
August Transparency 566,03/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£57,184"
August Transparency 567,09/08/2022,DIG NETWORK ACCESS SERVICE,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£56,477"
August Transparency 568,08/08/2022,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£56,430"
August Transparency 569,04/08/2022,CMG OPS EXTERNAL CONTRACTS/SLAS INDESSER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,INDESSER,"£56,403"
August Transparency 570,23/08/2022,CMG OPS EXTERNAL CONTRACTS/SLAS INDESSER,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,INDESSER,"£56,396"
August Transparency 571,23/08/2022,DIG TECH PLATFORM CIS BAU,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£56,387"
August Transparency 572,25/08/2022,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,THE PLUSS ORGANISATION,"£56,354"
August Transparency 573,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,BUSINESS SCALE UP DEVELOPMENT PROGRAMME,"£56,325"
August Transparency 574,10/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,CHESHIRE & WARRINGTON PLEDGE ACCESS PROGRAMME ESF,"£56,197"
August Transparency 575,03/08/2022,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£56,157"
August Transparency 576,05/08/2022,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,OMNICOM MEDIA GROUP UK LTD,"£56,106"
August Transparency 577,22/08/2022,WWEG CEP IPES CPA 4 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£55,962"
August Transparency 578,18/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ROUTE TO LOW CARBON JOBS,"£55,843"
August Transparency 579,17/08/2022,CHG STATE PENSION ACTIVATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,TRANSUNION INTERNATIONAL UK LTD,"£55,365"
August Transparency 580,04/08/2022,EP CEP RESTART CPA 6 WALES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£55,087"
August Transparency 581,15/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,INNER EAST LEEDS CLLD,"£54,509"
August Transparency 582,05/08/2022,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£54,481"
August Transparency 583,16/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DURHAM COUNTY COUNCIL,"£54,398"
August Transparency 584,08/08/2022,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£54,375"
August Transparency 585,17/08/2022,PCP ESTATES UTILITIES DELP,EXP - PURCHASE OF GOODS/SERVICES - ELECTRICITY,EON ENERGY SOLUTIONS LTD,"£54,355"
August Transparency 586,30/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,STRIVING2SUCCEED,"£54,281"
August Transparency 587,22/08/2022,FG ESTATES TOM DEL A SALARY COSTS,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£54,186"
August Transparency 588,22/08/2022,EP CEP RESTART CPA 3B GREATER MANCHESTER,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£54,064"
August Transparency 589,12/08/2022,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£54,030"
August Transparency 590,22/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESF NOMS CFO,"£53,822"
August Transparency 591,30/08/2022,EP CEP RESTART CPA 5A CENTRAL & WEST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,INGEUS UK LTD,"£53,497"
August Transparency 592,05/08/2022,WWEG CEP IPES CPA 4 SOUTHERN ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£53,426"
August Transparency 593,22/08/2022,DIG TRANSFORMATION ECSS CP AND IDV - DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£53,163"
August Transparency 594,16/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,HUMBER INTERNSHIP PROGRAMME HIP ESF,"£53,023"
August Transparency 595,18/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£52,998"
August Transparency 596,09/08/2022,PCP ESTATES UTILITIES DELP,EXP - MISCELLANEOUS EXPENDITURE - SPECIAL PAYMENTS - LEGAL SETTLEMENTS,TOTAL ENERGIES GAS& POWER LIMITED,"£52,695"
August Transparency 597,04/08/2022,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£52,597"
August Transparency 598,16/08/2022,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£52,492"
August Transparency 599,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£52,092"
August Transparency 600,11/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,CDW LTD,"£51,794"
August Transparency 601,08/08/2022,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£51,481"
August Transparency 602,04/08/2022,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£51,461"
August Transparency 603,08/08/2022,DIG NETWORK ACCESS SERVICE,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£51,157"
August Transparency 604,25/08/2022,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,REMPLOY LTD,"£50,978"
August Transparency 605,08/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,COMPUTACENTER UK LTD,"£50,926"
August Transparency 606,26/08/2022,OPS CFC DEBT INVESTMENT,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - DEBT COLLECTION,INDESSER,"£50,903"
August Transparency 607,04/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NORTH EAST SKILLS HUB,"£50,801"
August Transparency 608,25/08/2022,OPS CFC DISCRETE BUDGET CONTROL,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA BUSINESS SERVICES LTD TA KNOWLEDGEPOOL,"£50,737"
August Transparency 609,01/08/2022,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£50,717"
August Transparency 610,08/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£50,320"
August Transparency 611,30/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,NORTHERN DIRECTIONS,"£50,106"
August Transparency 612,04/08/2022,EP CEP WHP DWP CONTRACTS H COUNT CPA5,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£50,051"
August Transparency 613,09/08/2022,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£50,027"
August Transparency 614,24/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,FIND YOUR FUTURE,"£49,990"
August Transparency 615,03/08/2022,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CDW LTD,"£49,841"
August Transparency 616,30/08/2022,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - PRODUCTION,MANNING GOTTLIEB OMD,"£49,822"
August Transparency 617,16/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DIGITAL ENABLEMENT FOR SMES,"£49,744"
August Transparency 618,23/08/2022,CHG KICK START,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA - RES'H/EVAL,IFF RESEARCH LTD,"£49,720"
August Transparency 619,08/08/2022,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£49,550"
August Transparency 620,17/08/2022,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£49,550"
August Transparency 621,23/08/2022,SE SM CMG PJT DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£49,456"
August Transparency 622,04/08/2022,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£49,001"
August Transparency 623,17/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SOUTH & EAST CLLD,"£48,975"
August Transparency 624,31/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,STEPPING UP,"£48,938"
August Transparency 625,04/08/2022,PCP ESTATES OLD BAU DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - INTEGRATOR,SODEXO LTD,"£48,820"
August Transparency 626,11/08/2022,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - EQUIPMENT,STONE COMPUTERS LTD,"£48,614"
August Transparency 627,26/08/2022,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£48,380"
August Transparency 628,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£48,239"
August Transparency 629,03/08/2022,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£48,082"
August Transparency 630,22/08/2022,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£47,966"
August Transparency 631,22/08/2022,FG CRC ADVANCED PERSISTENT THREAT DETECTION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,FIDUS INFORMATION SECURITY LTD,"£47,900"
August Transparency 632,24/08/2022,DIG TRANSFORMATION ECSS CP AND IDV - DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£47,893"
August Transparency 633,23/08/2022,SE SM CMG PJT DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£47,799"
August Transparency 634,24/08/2022,"DIG SW ASSET SUBSCRIPTION, SUPPORT & MAINT RENEWALS DELP",EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,OPEN TEXT UK LTD,"£47,734"
August Transparency 635,23/08/2022,DIG CHILDREN - DATA DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TATA CONSULTANCY SERVICES LTD,"£47,665"
August Transparency 636,02/08/2022,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM,"£47,594"
August Transparency 637,24/08/2022,DIG CITIZEN INF - STRATEGIC ARA CROSS PROG SUPPORT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£47,503"
August Transparency 638,08/08/2022,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£47,423"
August Transparency 639,18/08/2022,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£47,309"
August Transparency 640,30/08/2022,SE SM WA PJT JSA ESA DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,BJSS LTD,"£47,028"
August Transparency 641,22/08/2022,DIG UNIFIED COMMS SERVICE,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,CHARTERHOUSE,"£46,932"
August Transparency 642,10/08/2022,DIG ECMS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,COGNIZANT WORLDWIDE LTD,"£46,890"
August Transparency 643,03/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£46,821"
August Transparency 644,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SME WORKFORCE DEVELOPMENT,"£46,662"
August Transparency 645,22/08/2022,DIG DEBT MGT - MAINTENANCE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ARUM SYSTEMS LTD,"£46,543"
August Transparency 646,11/08/2022,EP CEP WHP DWP CONTRACTS S ENG CPA4,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£46,492"
August Transparency 647,02/08/2022,DIG DG COO DWP PLACE,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,UNIFII,"£46,360"
August Transparency 648,02/08/2022,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£46,273"
August Transparency 649,30/08/2022,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE ,REED IN PARTNERSHIP LTD,"£46,273"
August Transparency 650,04/08/2022,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£46,269"
August Transparency 651,30/08/2022,DIG CITIZEN INF - STRATEGIC ARA CROSS PROG SUPPORT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£46,066"
August Transparency 652,11/08/2022,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,I2 GROUP COMMERCE DECISIONS,"£46,059"
August Transparency 653,30/08/2022,DIG ECMS PROJECT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£45,977"
August Transparency 654,18/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£45,964"
August Transparency 655,17/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SPECIAL COUNTER SERVICE,WORLDPAY,"£45,896"
August Transparency 656,09/08/2022,DIG - TOOLING MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,FUSION BUSINESS SOLUTIONS (UK) LTD,"£45,885"
August Transparency 657,09/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,INTERNS WITH TWIN,"£45,815"
August Transparency 658,11/08/2022,CASD ANALYTICAL COMMUNITY,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,IPSOS MORI,"£45,768"
August Transparency 659,25/08/2022,EP CEP WHP DWP CONTRACTS H COUNT CPA5,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,SHAW TRUST,"£45,359"
August Transparency 660,19/08/2022,SE SPD INTERNATIONAL MAIL,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,G3 WORLDWIDE MAIL UK LTD,"£45,316"
August Transparency 661,30/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DIGITAL SKILLS FOR EMPLOYEES IN C2C,"£45,292"
August Transparency 662,17/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,TRAIN TO GAIN,"£45,245"
August Transparency 663,18/08/2022,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£45,190"
August Transparency 664,23/08/2022,DIG APPLICATION DATA PLATFORMS CIS RELEASE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,IBM UNITED KINGDOM LTD,"£45,171"
August Transparency 665,01/08/2022,EP CEP RESTART CPA 2A NORTH EAST & HUMBERSIDE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£45,110"
August Transparency 666,15/08/2022,CHG FAS IT,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICE SOLUTIONS,"£44,835"
August Transparency 667,03/08/2022,EP CEP PHASE 2 NEA NB CPA04 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£44,797"
August Transparency 668,23/08/2022,PCP ESTATES OLD BAU DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,MITIE PROPERTY SERVICES UK LTD,"£44,767"
August Transparency 669,24/08/2022,P&C APPRENTICESHIP DN FUNDING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA,"£44,745"
August Transparency 670,11/08/2022,EP CEP WHP DWP CONTRACTS NW ENG CPA3,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£44,645"
August Transparency 671,17/08/2022,WWEG WP FG CEP ESF1420 LEICESTER & LEICESTERSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£44,548"
August Transparency 672,19/08/2022,OPS LB CAPITA,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES - CONTACT CENTRES,G4S GOVERNMENT AND OUTSOURCING SERVICES UK LTD,"£44,458"
August Transparency 673,24/08/2022,PCP ESTATES FM DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,MITIE FM LTD - 2WM,"£44,455"
August Transparency 674,15/08/2022,CASD CENTRAL ANALYSIS AND SCIENCE DIRECTORATE,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROFESSIONAL SERVICES,CAMBRIDGE INFORMATION LTD,"£44,434"
August Transparency 675,23/08/2022,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,TECKNUOVO LTD,"£44,100"
August Transparency 676,23/08/2022,DIG DYNAMIC TRUST HUB,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,TATA CONSULTANCY SERVICES LTD,"£44,000"
August Transparency 677,11/08/2022,DIG ON PREMISES HOSTING REFRESH,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£43,788"
August Transparency 678,18/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,PIXEL GROUP LTD,"£43,775"
August Transparency 679,19/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SOLENT GET INTO EMPLOYMENT,"£43,756"
August Transparency 680,11/08/2022,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REMPLOY LTD,"£43,544"
August Transparency 681,22/08/2022,OPS WDC WSD SE OXFORD JOBCENTRE PLUS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,ROAD TO LOGISTICS C I C,"£43,530"
August Transparency 682,23/08/2022,OPS WDC WSD SE MILTON KEYNES JOBCENTRE PLUS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - SERVICE COMPLETION FEE,ROAD TO LOGISTICS C I C,"£43,530"
August Transparency 683,22/08/2022,EP CEP PHASE 2 NEA NB CPA09 NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CUMBRIA CHAMBER OF COMMERCE,"£43,512"
August Transparency 684,17/08/2022,DIG INTEGRATION - STRATEGIC ARA API GATEWAY DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£43,431"
August Transparency 685,25/08/2022,DIG - NETWORK TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING - CONNECTIVITY,BT GLOBAL SERVICES,"£43,413"
August Transparency 686,16/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,EM3 ARMED FORCES VETERAN & FAMILIES,"£43,411"
August Transparency 687,23/08/2022,OPS WDC WSD WL SOUTH EAST WALES EMPLOYERS AND PARTNERS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - SERVICE COMPLETION FEE,ROAD TO LOGISTICS C I C,"£43,410"
August Transparency 688,02/08/2022,EP CEP RESTART CPA 4B SOUTH CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,FEDCAP EMPLOYMENT,"£43,399"
August Transparency 689,11/08/2022,FG CS HS HDAS NON CONTRACT,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,ATOS ORIGIN IT SERVICES UK LTD,"£43,307"
August Transparency 690,23/08/2022,PCP ESTATES OLD BAU DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,MITIE PROPERTY SERVICES UK LTD,"£43,265"
August Transparency 691,09/08/2022,PCP ESTATES INVESTMENT PROJECTS DELP,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - NON-ADVISORY,MITIE PROPERTY SERVICES UK LTD,"£43,247"
August Transparency 692,25/08/2022,SE SM CROSS ECSS AUTOMATED TELEPHONE EXCELLENCE DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£43,238"
August Transparency 693,26/08/2022,PCP ESTATES UTILITIES DELP,EXP - PURCHASE OF GOODS/SERVICES - WATER,SCOTTISH WATER BUSINESS STREAM LTD,"£43,082"
August Transparency 694,02/08/2022,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£43,009"
August Transparency 695,01/08/2022,EP CEP RESTART CPA 1B EAST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,JOBS 22 LTD,"£43,009"
August Transparency 696,11/08/2022,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£42,944"
