Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,Net Amount
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,01/09/2017,740.38
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,05/09/2017,554.19
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,05/09/2017,629.12
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,01/09/2017,691.42
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,01/09/2017,532.44
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,01/09/2017,509.62
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,01/09/2017,595.72
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,08/09/2017,507.91
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,08/09/2017,549.65
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,08/09/2017,611.02
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,08/09/2017,547
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,22/09/2017,551.96
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,12/09/2017,666.05
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,19/09/2017,680.61
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,22/09/2017,551.58
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,22/09/2017,558.8
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,22/09/2017,500.05
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,22/09/2017,644.41
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,26/09/2017,589.74
Books / Magazines / Media,ASKEWS & Holts,Cultural & Related Services,Library Equipment,29/09/2017,587.9
Welfare Services,Associated Optical,Adult Social Care,Furniture and Equipment,05/09/2017,750
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,12/09/2017,134.14
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,12/09/2017,112.96
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,12/09/2017,225.92
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,12/09/2017,247.1
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,12/09/2017,564.8
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,536.56
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,95.31
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,3219.36
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,1666.16
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,6325.76
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,960.16
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,437.72
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,56.48
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,483.61
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,116.49
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,4070.09
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,1694.4
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,7310.63
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,1327.28
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,783.66
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,13/09/2017,88.25
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,533.03
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,98.84
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,3985.37
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,1616.74
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,6488.14
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,1235.5
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,642.46
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,81.19
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,529.5
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,98.84
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,3755.92
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,1524.96
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,6195.15
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,1239.03
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,617.75
Social Care Services,ASSURED CARE (STOCKPORT) LTD,Adult Social Care,Care Payments,26/09/2017,88.25
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,04/09/2017,4596.2
Engineering Services,Atkins Global Ltd,Highways & Transport Services,Professional Fees,15/09/2017,6380
Engineering Services,Atkins Global Ltd,Capital Expenditure,Professional Fees,22/09/2017,2485
Engineering Services,Atkins Global Ltd,Highways & Transport Services,Professional Fees,22/09/2017,7888
Engineering Services,Atkins Global Ltd,Highways & Transport Services,Professional Fees,07/09/2017,8445
Engineering Services,Atkins Global Ltd,Highways & Transport Services,Professional Fees,26/09/2017,5065.5
Engineering Services,Atkins Global Ltd,Highways & Transport Services,Professional Fees,26/09/2017,5320
Engineering Services,Atkins Global Ltd,Highways & Transport Services,Professional Fees,26/09/2017,4960
Engineering Services,Atkins Global Ltd,Highways & Transport Services,Professional Fees,26/09/2017,900
Engineering Services,Atkins Limited,Capital Expenditure,Supplies and services,14/09/2017,24409
Construction / Building Services,AUTUMN (UK) LTD,Capital Expenditure,Capital Expenditure - Works,26/09/2017,2505.69
Construction / Building Services,AUTUMN (UK) LTD,Capital Expenditure,Capital Expenditure - Works,18/09/2017,5678.16
Communications and Technology,AVANDDA,Childrens & Educational Services,Information and Communications Technology,21/09/2017,1673
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,3836.77
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,4674.7
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,976.03
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,6938.73
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,3302.17
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,6884.37
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,3218.37
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,4426.05
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,4839.62
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,5168
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2280.22
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,5304.23
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2870.04
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,3215.05
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,3215.05
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,3114.46
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,4595.48
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2116.64
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,12/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,13/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,13/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,13/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,15/09/2017,4821.81
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,15/09/2017,3136.74
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,15/09/2017,4901.59
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,15/09/2017,4360
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,15/09/2017,4491.04
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,15/09/2017,4794.5
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,15/09/2017,6777.07
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,27/09/2017,4506.7
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,27/09/2017,4572.05
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,27/09/2017,6730.67
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,27/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,27/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,27/09/2017,2085.51
Construction / Building Services,B4Box Ltd,Capital Expenditure,Capital Expenditure - Works,27/09/2017,2085.51
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,18/09/2017,1250.71
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,18/09/2017,278.86
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,18/09/2017,2869.29
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,18/09/2017,2120
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,18/09/2017,367.86
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,-1295.9
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,-1857.2
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,-12766.39
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,-653.5
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,-631.5
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,-435.25
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,6102
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,5704.43
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,15293.86
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,61960.14
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,3051
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,9153
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,3051
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,3101
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,775.25
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,4717.95
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,6977.25
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,15674.3
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,863.85
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,775.25
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,5183.1
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,775.25
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,2325.75
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,900.25
Social Care Services,BAMFORD GRANGE,Adult Social Care,Care Payments,25/09/2017,2823
Social Care Services,Bankhouse Nursing Home,Adult Social Care,Care Payments,25/09/2017,-635.1
Social Care Services,Bankhouse Nursing Home,Adult Social Care,Care Payments,25/09/2017,2378.3
Social Care Services,Banks Cannell LLP,Adult Social Care,Professional Fees,26/09/2017,6641.4
Social Care Services,Barchester Corrina Lodge CH,Adult Social Care,Care Payments,18/09/2017,2600
Social Care Services,Barchester Corrina Lodge CH,Adult Social Care,Care Payments,25/09/2017,9100
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,18/09/2017,5461.99
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,18/09/2017,1110.95
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,25/09/2017,-311.75
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,25/09/2017,-422
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,25/09/2017,-653.5
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,25/09/2017,8556.1
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,25/09/2017,1550.5
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,25/09/2017,110.75
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,25/09/2017,1550.5
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,25/09/2017,5000
Social Care Services,Barchester Healthcare,Adult Social Care,Care Payments,25/09/2017,3500
